jd,filter,tag,mag,emag
2459087.71,ZTF_i,P48,19.13,0.09
2459091.65,ZTF_i,P48,21.11,0.35
2459368.71,ZTF_g,P48,20.87,0.15
2459368.8,ZTF_r,P48,21.13,0.22
2459368.82,ZTF_i,P48,20.76,0.36
2459369.73,ZTF_g,P48,20.16,0.09
2459369.82,ZTF_r,P48,20.52,0.12
2459369.82,ZTF_r,P48,20.36,0.09
2459369.86,ZTF_g,P48,19.94,0.08
2459371.71,ZTF_g,P48,20.33,0.1
2459371.8,ZTF_i,P48,20.67,0.34
2459371.8,ZTF_i,P48,20.54,0.27
2459371.83,ZTF_r,P48,20.51,0.12
2459373.74,ZTF_r,P48,20.84,0.2
2459374.75,ZTF_i,P48,20.4,0.22
2459375.71,ZTF_i,P48,20.59,0.28
2459375.73,ZTF_r,P48,20.34,0.13
2459375.75,ZTF_r,P48,20.32,0.11
2459375.78,ZTF_g,P48,20.58,0.15
2459375.78,ZTF_g,P48,20.46,0.17
2459376.8,ZTF_r,P48,20.19,0.09
2459376.85,ZTF_g,P48,20.33,0.1
2459377.73,ZTF_r,P48,20.11,0.1
2459377.73,ZTF_r,P48,20.03,0.1
2459377.75,ZTF_r,P48,20.01,0.09
2459377.78,ZTF_i,P48,19.89,0.15
2459377.83,ZTF_g,P48,20.19,0.1
2459378.73,ZTF_g,P48,20.04,0.08
2459378.77,ZTF_r,P48,20.02,0.1
2459378.79,ZTF_i,P48,20.18,0.18
2459379.8,ZTF_g,P48,20.08,0.14
2459379.8,ZTF_g,P48,20.02,0.1
2459379.8,ZTF_g,P48,20.02,0.1
2459379.84,ZTF_r,P48,19.87,0.09
2459379.86,ZTF_r,P48,19.8,0.08
2459379.87,ZTF_r,P48,19.72,0.08
2459380.82,ZTF_i,P48,19.51,0.21
2459381.8,ZTF_g,P48,19.77,0.13
2459381.8,ZTF_g,P48,19.73,0.13
2459381.84,ZTF_i,P48,19.93,0.22
2459381.88,ZTF_r,P48,19.57,0.2
2459383.71,ZTF_r,P48,19.36,0.1
2459383.73,ZTF_r,P48,19.41,0.1
2459383.76,ZTF_g,P48,19.71,0.13
2459383.76,ZTF_g,P48,19.75,0.14
2459383.79,ZTF_i,P48,19.59,0.16
2459384.79,ZTF_i,P48,19.26,0.12
2459385.75,ZTF_r,P48,19.41,0.11
2459385.75,ZTF_r,P48,19.27,0.08
2459385.76,ZTF_r,P48,19.33,0.09
2459385.78,ZTF_g,P48,19.49,0.15
2459385.78,ZTF_g,P48,19.54,0.13
2459385.81,ZTF_g,P48,19.57,0.13
2459386.73,ZTF_r,P48,19.23,0.1
2459386.75,ZTF_i,P48,19.25,0.14
2459386.78,ZTF_g,P48,19.44,0.14
2459387.74,ZTF_r,P48,19.15,0.09
2459387.75,ZTF_r,P48,19.1,0.1
2459387.75,ZTF_r,P48,19.04,0.09
2459387.76,ZTF_i,P48,19.17,0.14
2459387.79,ZTF_g,P48,19.33,0.14
2459387.81,ZTF_g,P48,19.58,0.2
2459387.84,ZTF_g,P48,19.34,0.17
2459390.74,ZTF_g,P48,19.38,0.11
2459390.8,ZTF_r,P48,19.1,0.08
2459391.71,ZTF_g,P48,19.33,0.08
2459391.71,ZTF_g,P48,19.28,0.08
2459391.72,ZTF_g,P48,19.37,0.1
2459391.78,ZTF_r,P48,19.0,0.08
2459391.8,ZTF_r,P48,19.01,0.07
2459391.84,ZTF_i,P48,19.13,0.12
2459391.85,ZTF_i,P48,19.12,0.11
2459392.74,ZTF_g,P48,19.29,0.07
2459392.82,ZTF_r,P48,19.08,0.09
2459393.74,ZTF_r,P48,19.05,0.04
2459393.74,ZTF_r,P48,18.95,0.04
2459393.74,ZTF_r,P48,19.03,0.04
2459393.77,ZTF_g,P48,19.25,0.06
2459393.77,ZTF_g,P48,19.37,0.07
2459394.72,ZTF_g,P48,19.35,0.05
2459394.77,ZTF_i,P48,19.0,0.08
2459394.8,ZTF_r,P48,18.9,0.07
2459395.71,ZTF_i,P48,18.86,0.12
2459395.76,ZTF_g,P48,19.23,0.11
2459395.76,ZTF_g,P48,19.25,0.13
2459395.77,ZTF_g,P48,19.33,0.09
